"","TransID","Date","CustomerID","ProductID"
"1",1,2018-09-02,8,1
"2",2,2018-09-02,9,2
"3",3,2018-09-02,26,4
"4",4,2018-09-02,32,5
"5",5,2018-09-02,35,4
"6",6,2018-09-02,40,1
"7",7,2018-09-02,46,4
"8",8,2018-09-02,54,3
"9",9,2018-09-02,56,2
"10",10,2018-09-02,80,2
"11",11,2018-09-02,86,3
"12",12,2018-09-02,87,2
"13",13,2018-09-02,95,4
"14",14,2018-09-02,118,2
"15",15,2018-09-02,120,3
"16",16,2018-09-03,127,2
"17",17,2018-09-03,153,3
"18",18,2018-09-03,154,2
"19",19,2018-09-03,168,4
"20",20,2018-09-03,177,1
"21",21,2018-09-03,190,2
"22",22,2018-09-03,193,2
"23",23,2018-09-03,196,3
"24",24,2018-09-03,198,4
"25",25,2018-09-03,204,2
"26",26,2018-09-03,227,1
"27",27,2018-09-03,229,3
"28",28,2018-09-03,232,1
"29",29,2018-09-03,242,1
"30",30,2018-09-03,250,2
"31",31,2018-09-03,252,1
"32",32,2018-09-03,256,1
"33",33,2018-09-03,262,4
"34",34,2018-09-04,278,1
"35",35,2018-09-04,291,1
"36",36,2018-09-04,299,2
"37",37,2018-09-04,311,1
"38",38,2018-09-04,319,4
"39",39,2018-09-04,337,4
"40",40,2018-09-04,353,2
"41",41,2018-09-04,371,2
"42",42,2018-09-04,376,4
"43",43,2018-09-04,400,2
"44",44,2018-09-04,421,3
"45",45,2018-09-04,426,1
"46",46,2018-09-04,428,2
"47",47,2018-09-04,433,4
"48",48,2018-09-04,442,2
"49",49,2018-09-04,447,4
"50",50,2018-09-05,460,1
"51",51,2018-09-05,465,2
"52",52,2018-09-05,481,4
"53",53,2018-09-05,502,2
"54",54,2018-09-05,505,1
"55",55,2018-09-05,510,3
"56",56,2018-09-05,515,3
"57",57,2018-09-05,522,1
"58",58,2018-09-05,524,2
"59",59,2018-09-05,528,1
"60",60,2018-09-05,538,3
"61",61,2018-09-05,549,2
"62",62,2018-09-06,552,1
"63",63,2018-09-06,554,5
"64",64,2018-09-06,569,1
"65",65,2018-09-06,583,2
"66",66,2018-09-06,596,3
"67",67,2018-09-06,599,2
"68",68,2018-09-06,606,2
"69",69,2018-09-06,608,3
"70",70,2018-09-06,624,2
"71",71,2018-09-06,630,3
"72",72,2018-09-06,656,3
"73",73,2018-09-06,696,1
"74",74,2018-09-06,717,1
"75",75,2018-09-06,725,1
"76",76,2018-09-07,728,2
"77",77,2018-09-07,736,1
"78",78,2018-09-07,737,2
"79",79,2018-09-07,759,1
"80",80,2018-09-07,760,2
"81",81,2018-09-07,763,1
"82",82,2018-09-07,766,1
"83",83,2018-09-07,775,1
"84",84,2018-09-07,781,2
"85",85,2018-09-07,792,1
"86",86,2018-09-07,818,3
"87",87,2018-09-07,826,1
"88",88,2018-09-07,828,1
"89",89,2018-09-07,830,3
"90",90,2018-09-07,840,3
"91",91,2018-09-07,856,1
"92",92,2018-09-07,863,1
"93",93,2018-09-07,870,1
"94",94,2018-09-08,881,2
"95",95,2018-09-08,893,2
"96",96,2018-09-08,896,1
"97",97,2018-09-08,915,2
"98",98,2018-09-08,935,3
"99",99,2018-09-08,970,2
"100",100,2018-09-08,980,3
"101",101,2018-09-08,985,3
"102",102,2018-09-08,1011,2
"103",103,2018-09-08,1040,3
"104",104,2018-09-08,1045,5
"105",105,2018-09-08,1059,2
"106",106,2018-09-08,1077,4
"107",107,2018-09-08,1098,1
"108",108,2018-09-08,1106,1
"109",109,2018-09-08,1120,1
"110",110,2018-09-08,1130,2
"111",111,2018-09-08,1138,4
"112",112,2018-09-08,1142,2
"113",113,2018-09-08,1144,2
"114",114,2018-09-08,1146,2
"115",115,2018-09-09,1156,2
"116",116,2018-09-09,1166,2
"117",117,2018-09-09,1190,4
"118",118,2018-09-09,1193,3
"119",119,2018-09-09,1202,2
"120",120,2018-09-09,1207,1
"121",121,2018-09-09,1209,3
"122",122,2018-09-09,1223,1
